n	32
m	4
tmax	1000
10.500	14.400	0	1	357-357-357-357
18.000	15.900	10	0
18.300	13.300	10	0
16.500	9.300	10	0
15.400	11.000	10	0
14.900	13.200	5	0
16.300	13.300	5	0
16.400	17.800	5	0
15.000	17.900	5	0
16.100	19.600	10	0
15.700	20.600	10	0
13.200	20.100	10	0
14.300	15.300	5	0
14.000	5.100	10	0
11.400	6.700	15	0
8.300	5.000	15	0
7.900	9.800	10	0
11.400	12.000	5	0
11.200	17.600	5	0
10.100	18.700	5	0
11.700	20.300	10	0
10.200	22.100	10	0
9.700	23.800	10	0
10.100	26.400	15	0
7.400	24.000	15	0
8.200	19.900	15	0
8.700	17.700	10	0
8.900	13.600	10	0
5.600	11.100	10	0
4.900	18.900	10	0
7.300	18.800	10	0
11.200	14.100	0	0
